"Event Date","Event Time","Mill Number","One Minute Mean"
"05/19/2022","19:14:00","19","30"
"05/19/2022","19:14:00","20","28"
"05/19/2022","19:14:00","21","16"
"05/19/2022","19:14:00","22","17"
"05/19/2022","19:14:00","24","28"
"05/19/2022","19:14:00","25","39"
"05/19/2022","19:14:00","26","49"
"05/19/2022","19:14:00","28","42"
"05/19/2022","19:14:00","30","43"
"05/19/2022","19:14:00","31","39"
"05/19/2022","19:14:00","32","39"
"05/19/2022","19:14:00","34","48"
"05/19/2022","19:14:00","35","43"
"05/19/2022","19:15:00","1","59"
"05/19/2022","19:15:00","2","40"
"05/19/2022","19:15:00","4","55"
"05/19/2022","19:15:00","5","29"
"05/19/2022","19:15:00","6","33"
"05/19/2022","19:15:00","7","28"
"05/19/2022","19:15:00","8","46"
"05/19/2022","19:15:00","9","51"
"05/19/2022","19:15:00","10","39"
"05/19/2022","19:15:00","11","35"
"05/19/2022","19:15:00","12","40"
"05/19/2022","19:15:00","14","45"
"05/19/2022","19:15:00","15","28"
"05/19/2022","19:15:00","16","66"
"05/19/2022","19:15:00","17","23"
"05/19/2022","19:15:00","18","26"
"05/19/2022","19:15:00","19","32"
"05/19/2022","19:15:00","20","29"
"05/19/2022","19:15:00","21","15"
"05/19/2022","19:15:00","22","17"
"05/19/2022","19:15:00","24","30"
"05/19/2022","19:15:00","25","36"
"05/19/2022","19:15:00","26","52"
"05/19/2022","19:15:00","28","41"
"05/19/2022","19:15:00","29","31"
"05/19/2022","19:15:00","30","42"
"05/19/2022","19:15:00","31","43"
"05/19/2022","19:15:00","32","40"
"05/19/2022","19:15:00","34","50"
"05/19/2022","19:15:00","35","45"
"05/19/2022","19:16:00","1","56"
"05/19/2022","19:16:00","2","40"
"05/19/2022","19:16:00","4","51"
"05/19/2022","19:16:00","5","29"
"05/19/2022","19:16:00","6","32"
"05/19/2022","19:16:00","7","28"
"05/19/2022","19:16:00","8","47"
"05/19/2022","19:16:00","9","46"
"05/19/2022","19:16:00","10","38"
"05/19/2022","19:16:00","11","32"
"05/19/2022","19:16:00","12","38"
"05/19/2022","19:16:00","14","46"
"05/19/2022","19:16:00","15","27"
"05/19/2022","19:16:00","16","68"
"05/19/2022","19:16:00","17","21"
"05/19/2022","19:16:00","18","25"
"05/19/2022","19:16:00","19","28"
"05/19/2022","19:16:00","20","27"
"05/19/2022","19:16:00","21","14"
"05/19/2022","19:16:00","22","17"
"05/19/2022","19:16:00","24","33"
